ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
2.7,85.1,2.0,14.0,2.0,5.15275137003848,0,0,0,0,1,0,1,0,5,440658.0493537015
2.7,41.0,2.0,14.0,4.0,7.5063755752596375,0,0,0,1,0,0,1,0,7,602439.0243902439
3.0,86.7,3.0,16.0,18.0,5.037670020955237,0,0,1,0,0,0,1,0,7,540000.0
3.0,112.82,3.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,819000.0
3.0,64.3,2.0,11.0,12.0,4.639291099866582,0,0,1,0,0,0,1,0,7,675000.0
3.0,63.7,2.0,10.0,22.0,3.139428620048779,0,0,1,0,0,0,1,0,7,625000.0
3.0,80.0,3.0,17.0,16.0,5.717892291035907,0,0,1,0,0,0,1,0,7,712500.0
2.5,88.3,3.0,5.0,5.0,3.236854937632893,0,0,0,0,0,1,0,0,5,486976.21744054364
3.0,64.57,2.0,17.0,20.0,2.78160312715518,0,0,1,0,0,0,1,0,7,932000.0000000001
3.0,70.1,2.0,9.0,5.0,4.277754405929315,0,0,0,0,0,0,1,0,7,727532.0970042796
2.7,55.0,2.0,16.0,5.0,6.3430590614464615,0,0,0,0,0,0,1,0,5,509090.9090909091
2.7,32.0,1.0,9.0,9.0,2.6530183693541507,0,0,0,0,0,0,1,0,6,609375.0
2.7,69.0,3.0,9.0,3.0,3.281145913104739,0,1,0,0,0,0,1,0,7,601449.2753623188
2.8,68.0,2.0,9.0,5.0,5.331950309626972,0,0,0,1,0,0,0,0,6,463235.29411764705
3.0,140.17,4.0,17.0,20.0,2.78160312715518,0,0,1,0,0,0,1,0,7,860000.0000000001
3.0,46.6,1.0,11.0,12.0,4.651642201210934,0,0,1,0,0,0,1,0,7,710000.0
3.0,52.33,2.0,9.0,9.0,7.223812041542382,0,1,0,0,0,0,1,0,7,788812.2491878464
3.0,71.82,3.0,12.0,16.0,3.899620363498144,0,0,0,1,0,0,1,0,7,638000.0000000001
2.7,35.13,1.0,9.0,9.0,8.145237274207853,0,0,0,1,0,0,1,0,7,360000.0
3.0,72.27,2.0,13.0,12.0,3.1070649092430376,0,0,1,0,0,0,0,0,7,870000.0
3.2,118.07,3.0,13.0,9.0,3.7460287628073985,0,0,0,1,0,0,1,0,7,590000.0
3.3,62.0,2.0,8.0,5.0,3.6146374116506883,0,1,0,0,0,0,0,0,6,846774.1935483871
3.0,86.3,3.0,10.0,22.0,3.1042569977602232,0,0,1,0,0,0,1,0,7,580000.0
2.7,53.31,2.0,9.0,2.0,7.872363652471112,0,0,0,0,0,0,0,0,7,429562.93378353026
2.7,35.8,2.0,5.0,1.0,3.5385761376699065,0,0,0,0,0,0,0,1,3,629888.2681564246
2.7,65.0,3.0,17.0,11.0,4.700567036022329,0,1,0,0,0,0,1,0,6,653846.1538461539
3.0,94.81,3.0,11.0,17.0,5.483315845055987,0,1,0,0,0,0,1,0,7,821000.0
3.0,50.0,2.0,14.0,12.0,3.5883923833887685,0,1,0,0,0,0,1,0,7,840000.0
3.0,72.06,3.0,11.0,14.0,5.232382477261815,0,1,0,0,0,0,1,0,7,611000.0
2.65,59.9,2.0,9.0,9.0,5.856187934933634,0,1,0,0,0,0,1,0,7,590098.4974958263
3.0,47.9,2.0,23.0,18.0,5.414166214467195,0,0,0,0,0,1,1,0,6,427974.9478079332
2.7,74.92,3.0,9.0,9.0,8.145237274207853,0,0,0,1,0,0,1,0,7,360000.0
3.0,45.0,2.0,12.0,6.0,6.119858695657581,0,0,0,1,0,0,0,0,7,544444.4444444445
